timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
030303031,3,F1,,0.0,,11.071305,,,,,,,,,,,,,,,
2025-12-08T16:22:08.631328+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:08.636506+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:08.637193+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:08.637945+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,,0.0,,,,,
2025-12-08T16:22:08.638329+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17969.642509,,,46,0,18590,3766
2025-12-08T16:22:08.833751+00:00,gnb:131-133-31000000,unknown,2,F1,,11.77718,,,,,,,,,,,,,,,
2025-12-08T16:22:08.833873+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:08.833940+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.554359,,,,,,,,
2025-12-08T16:22:08.835723+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:08.835873+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:08.835951+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:08.836119+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:08.836204+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:08.836268+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17898.84097,,,119,0,0,400
